127.0.0.1 - - [17/Mar/2024:21:19:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:19:47 +0530] "GET /ProductDBCApp/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:19:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:20:34 +0530] "GET /ProductDBCApp/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:20:40 +0530] "GET /ProductDBCApp/add_product.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:20:40 +0530] "GET /ProductDBCApp/formValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:20:48 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 500 8192
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:21:39 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 200 83793
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:21:55 +0530] "GET /ProductDBCApp/EditproductServlet?proId=6789 HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:38:39 +0530] "GET /ProductDBCApp/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:38:54 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:38:54 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 200 83793
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:38:59 +0530] "GET /ProductDBCApp/EditproductServlet?proId=3421 HTTP/1.1" 500 5573
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:39:35 +0530] "GET /ProductDBCApp/EditproductServlet?proId=6789 HTTP/1.1" 500 5573
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:39:54 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 200 83793
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:42:47 +0530] "GET /ProductDBCApp/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:44:31 +0530] "POST /ProductDBCApp/AddProductServlet HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:45:31 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 500 8192
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:46:10 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 200 83749
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:46:55 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 200 83765
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:47:21 +0530] "GET /ProductDBCApp/EditproductServlet?proId=6789 HTTP/1.1" 500 5471
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:55:46 +0530] "GET /ProductDBCApp/edit_form.jsp HTTP/1.1" 500 4655
0:0:0:0:0:0:0:1 - - [17/Mar/2024:21:59:23 +0530] "GET /ProductDBCApp/edit_form.jsp HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [17/Mar/2024:22:03:11 +0530] "GET /ProductDBCApp/edit_form.jsp HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [17/Mar/2024:22:06:01 +0530] "GET /ProductDBCApp/edit_form.jsp HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [17/Mar/2024:22:08:47 +0530] "GET /ProductDBCApp/edit_form.jsp HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [17/Mar/2024:22:13:10 +0530] "GET /ProductDBCApp/edit_form.jsp HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [17/Mar/2024:22:16:08 +0530] "GET /ProductDBCApp/productList.jsp HTTP/1.1" 200 83765
